method,game,iter,reward
brute,airstriker,265,300
brute,airstriker,266,580
brute,airstriker,267,800
brute,airstriker,268,220
brute,airstriker,269,260
brute,airstriker,270,680
brute,airstriker,271,220
brute,airstriker,272,540
brute,airstriker,273,800
brute,airstriker,274,240
brute,airstriker,275,460
brute,airstriker,276,560
brute,airstriker,277,580
brute,airstriker,278,860
brute,airstriker,279,420
brute,airstriker,280,860
brute,airstriker,281,260
brute,airstriker,282,760
brute,airstriker,283,540
brute,airstriker,284,760
brute,airstriker,285,560
brute,airstriker,286,220
brute,airstriker,287,860
brute,airstriker,288,660
brute,airstriker,289,460
brute,airstriker,290,580
brute,airstriker,291,640
brute,airstriker,292,620
brute,airstriker,293,320
brute,airstriker,294,860
brute,airstriker,295,620
brute,airstriker,296,240
brute,airstriker,297,200
brute,airstriker,298,420
brute,airstriker,299,200
brute,airstriker,300,600
brute,airstriker,301,520
brute,airstriker,302,860
brute,airstriker,303,200
brute,airstriker,304,860
brute,airstriker,305,160
brute,airstriker,306,300
brute,airstriker,307,860
brute,airstriker,308,720
brute,airstriker,309,860
brute,airstriker,310,860
brute,airstriker,311,360
brute,airstriker,312,540
brute,airstriker,313,500
brute,airstriker,314,480
brute,airstriker,315,460
brute,airstriker,316,320
brute,airstriker,317,140
brute,airstriker,318,860
brute,airstriker,319,160
brute,airstriker,320,560
brute,airstriker,321,660
brute,airstriker,322,860
brute,airstriker,323,860
brute,airstriker,324,860
brute,airstriker,325,260
brute,airstriker,326,240
brute,airstriker,327,140
brute,airstriker,328,520
brute,airstriker,329,340
brute,airstriker,330,860
brute,airstriker,331,380
brute,airstriker,332,260
brute,airstriker,333,480
brute,airstriker,334,160
brute,airstriker,335,860
brute,airstriker,336,860
brute,airstriker,337,100
brute,airstriker,338,480
brute,airstriker,339,720
brute,airstriker,340,560
brute,airstriker,341,440
brute,airstriker,342,140
brute,airstriker,343,180
brute,airstriker,344,640
brute,airstriker,345,640
brute,airstriker,346,560
brute,airstriker,347,860
brute,airstriker,348,860
brute,airstriker,349,640
brute,airstriker,350,860
brute,airstriker,351,520
brute,airstriker,352,620
brute,airstriker,353,200
brute,airstriker,354,580
brute,airstriker,355,580
brute,airstriker,356,860
brute,airstriker,357,100
brute,airstriker,358,600
brute,airstriker,359,420
brute,airstriker,360,600
brute,airstriker,361,320
brute,airstriker,362,400
brute,airstriker,363,520
brute,airstriker,364,860
brute,airstriker,365,860
brute,airstriker,366,860
brute,airstriker,367,160
brute,airstriker,368,680
brute,airstriker,369,560
brute,airstriker,370,860
brute,airstriker,371,360
brute,airstriker,372,860
brute,airstriker,373,220
brute,airstriker,374,260
brute,airstriker,375,460
brute,airstriker,376,860
brute,airstriker,377,860
brute,airstriker,378,620
brute,airstriker,379,240
brute,airstriker,380,160
brute,airstriker,381,860
brute,airstriker,382,860
brute,airstriker,383,620
brute,airstriker,384,860
brute,airstriker,385,440
brute,airstriker,386,860
brute,airstriker,387,840
brute,airstriker,388,860
brute,airstriker,389,860
brute,airstriker,390,180
brute,airstriker,391,120
brute,airstriker,392,440
brute,airstriker,393,380
brute,airstriker,394,860
brute,airstriker,395,640
brute,airstriker,396,860
brute,airstriker,397,320
brute,airstriker,398,500
brute,airstriker,399,520
brute,airstriker,400,500
brute,airstriker,401,720
brute,airstriker,402,280
brute,airstriker,403,520
brute,airstriker,404,860
brute,airstriker,405,520
brute,airstriker,406,580
brute,airstriker,407,200
brute,airstriker,408,620
brute,airstriker,409,280
brute,airstriker,410,840
brute,airstriker,411,860
brute,airstriker,412,400
brute,airstriker,413,860
brute,airstriker,414,260
brute,airstriker,415,660
brute,airstriker,416,860
brute,airstriker,417,600
brute,airstriker,418,560
brute,airstriker,419,540
brute,airstriker,420,240
brute,airstriker,421,560
brute,airstriker,422,220
brute,airstriker,423,580
brute,airstriker,424,920
brute,airstriker,425,920
brute,airstriker,426,540
brute,airstriker,427,920
brute,airstriker,428,520
brute,airstriker,429,620
brute,airstriker,430,320
brute,airstriker,431,920
brute,airstriker,432,320
brute,airstriker,433,240
brute,airstriker,434,680
brute,airstriker,435,780
brute,airstriker,436,900
brute,airstriker,437,920
brute,airstriker,438,920
brute,airstriker,439,620
brute,airstriker,440,400
brute,airstriker,441,780
brute,airstriker,442,920
brute,airstriker,443,220
brute,airstriker,444,940
brute,airstriker,445,840
brute,airstriker,446,240
brute,airstriker,447,940
brute,airstriker,448,940
brute,airstriker,449,260
brute,airstriker,450,940
brute,airstriker,451,560
brute,airstriker,452,900
brute,airstriker,453,500
brute,airstriker,454,200
brute,airstriker,455,300
brute,airstriker,456,360
brute,airstriker,457,780
brute,airstriker,458,940
brute,airstriker,459,360
brute,airstriker,460,820
brute,airstriker,461,360
brute,airstriker,462,940
brute,airstriker,463,920
brute,airstriker,464,940
brute,airstriker,465,160
brute,airstriker,466,180
brute,airstriker,467,840
brute,airstriker,468,640
brute,airstriker,469,540
brute,airstriker,470,940
brute,airstriker,471,940
brute,airstriker,472,460
brute,airstriker,473,940
brute,airstriker,474,500
brute,airstriker,475,360
brute,airstriker,476,680
brute,airstriker,477,940
brute,airstriker,478,680
brute,airstriker,479,180
brute,airstriker,480,500
brute,airstriker,481,940
brute,airstriker,482,520
brute,airstriker,483,360
brute,airstriker,484,940
brute,airstriker,485,860
brute,airstriker,486,940
brute,airstriker,487,940
brute,airstriker,488,940
brute,airstriker,489,680
brute,airstriker,490,420
brute,airstriker,491,580
brute,airstriker,492,80
brute,airstriker,493,680
brute,airstriker,494,480
brute,airstriker,495,620
brute,airstriker,496,360
brute,airstriker,497,500
